epoch,loss,mae,mse
0,5798.97802734375,64.64006042480469,5798.97802734375
1,5794.35595703125,64.49170684814453,5794.35595703125
2,5794.39208984375,64.75421142578125,5794.39208984375
3,5799.52783203125,64.68436431884766,5799.52783203125
4,5805.93408203125,64.41209411621094,5805.93408203125
5,5812.060546875,64.92113494873047,5812.060546875
6,5796.869140625,64.54197692871094,5796.869140625
7,5817.58837890625,64.58694458007812,5817.58837890625
8,5795.130859375,64.61698913574219,5795.130859375
9,5803.96484375,64.74092864990234,5803.96484375
